EntrezID	Symbol
102724571	LNCTAM34A
9563	H6PD
80176	SPSB1
100506022	LINC02606
84275	SLC25A33
199953	TMEM201
5293	PIK3CD
644997	PIK3CD-AS1
101929074	PIK3CD-AS2
22883	CLSTN1
56998	CTNNBIP1
64802	NMNAT1
100847055	MIR5697
116362	RBP7
10277	UBE4B
23095	KIF1B
5226	PGD
100526739	CENPS-CORT
378708	CENPS
1325	CORT
5195	PEX14
54897	CASZ1
148345	C1orf127
23435	TARDBP
10747	MASP2
6723	SRM
5394	EXOSC10
2475	MTOR
10218	ANGPTL7
29914	UBIAD1
105376737	LOC105376737
57540	DISP3
101929181	LINC01647
26232	FBXO2
26270	FBXO6
10459	MAD2L2
57085	AGTRAP
284498	C1orf167
4524	MTHFR
1185	CLCN6
100379251	NPPA-AS1
4878	NPPA
4879	NPPB
124903843	LOC124903843
90231	KIAA2013
5351	PLOD1
9927	MFN2
60672	MIIP
943	TNFRSF8
102465836	MIR7846
7133	TNFRSF1B
100616438	MIR4632
55187	VPS13D
677885	SNORA59A
105376744	LINC02766
102466722	MIR6730
9249	DHRS3
343066	AADACL4
126767	AADACL3
93190	CFAP107
390999	PRAMEF12
65121	PRAMEF1
105376745	LINC01784
440560	PRAMEF11
65122	PRAMEF2
400735	PRAMEF4
343071	PRAMEF10
441871	PRAMEF7
440561	PRAMEF6
101929983	PRAMEF27
441873	PRAMEF25
649324	PRAMEF34P
645354	PRAMEF36P
645359	PRAMEF26
343070	PRAMEF9
400736	PRAMEF13
391003	PRAMEF18
343068	PRAMEF5
391002	PRAMEF8
645382	PRAMEF33
653619	PRAMEF15
729528	PRAMEF14
645414	PRAMEF19
391004	PRAMEF17
645425	PRAMEF20
107984918	LOC107984918
126755	LRRC38
10630	PDPN
124900446	LOC124900446
7799	PRDM2
23254	KAZN
105376762	KAZN-AS1
200197	TMEM51-AS1
727684	TMEM51-AS2
114827	FHAD1
101927441	EFHD2-AS1
79180	EFHD2
11330	CTRC
63036	CELA2A
51032	CELA2B
842	CASP9
79814	AGMAT
124903854	LOC124903854
84301	DDI2
23207	PLEKHM2
284723	SLC25A34
110806303	SLC25A34-AS1
54751	FBLIM1
440567	UQCRHL
23013	SPEN
729614	SPEN-AS1
7709	ZBTB17
149563	SRARP
27129	HSPB7
1187	CLCNKA
1188	CLCNKB
348487	FAM131C
1969	EPHA2
101927479	EPHA2-AS1
128272	ARHGEF19
101927546	ANO7L1
79363	CPLANE2
54455	FBXO42
26099	SZRD1
374955	SPATA21
55707	NECAP2
107984921	LINC01772
114819	CROCCP3
26871	RNU1-1
100132147	LINC01783
55672	NBPF1
124900584	LOC124900584
84809	CROCCP2
26869	RNU1-3
284729	ESPNP
124903858	LOC124903858
9696	CROCC
6060	RNU1-4
11223	MST1L
100500876	MIR3675
112267871	LOC112267871
26870	RNU1-2
4237	MFAP2
23400	ATP13A2
6390	SDHB
11240	PADI2
400743	LINC02783
29943	PADI1
51702	PADI3
100616188	MIR3972
23569	PADI4
353238	PADI6
114515514	RCC2-AS1
55920	RCC2
55160	ARHGEF10L
107984028	LINC02810
81569	ACTL8
105376812	LOC105376812
101927876	LINC01654
84966	IGSF21
105376814	IGSF21-AS1
124903865	LOC124903865
127707	KLHDC7A
5081	PAX7
80834	TAS1R2
100616120	MIR4695
8659	ALDH4A1
126917	IFFO2
23352	UBR4
23065	EMC1
51154	MRTO4
246181	AKR7L
22977	AKR7A3
8574	AKR7A2
54896	SLC66A1
832	CAPZB
440574	MICOS10
105378614	MICOS10-DT
644068	RPS14P3
4681	NBL1
3362	HTR6
255104	TMCO4
54546	RNF186
23252	OTUD3
30814	PLA2G2E
5320	PLA2G2A
5322	PLA2G5
26279	PLA2G2D
64600	PLA2G2F
117779438	LOC117779438
391013	PLA2G2C
127733	UBXN10
105376827	LINC01757
105376828	LOC105376828
127731	VWA5B1
339505	LINC01141
124903871	LOC124903871
55450	CAMK2N1
79594	MUL1
163933	FAM43B
978	CDA
65018	PINK1
1650	DDOST
57576	KIF17
400745	SH2D5
50809	HP1BP3
8672	EIF4G3
1889	ECE1
124903872	LOC124903872
100506801	ECE1-AS1
105376832	LOC105376832
84224	NBPF3
249	ALPL
105376834	LINC02596
5909	RAP1GAP
84196	USP48
401944	LDLRAD2
3339	HSPG2
23436	CELA3B
10136	CELA3A
29092	LINC00339
998	CDC42
101928043	LINC01635
54361	WNT4
105376845	LOC105376845
100616433	MIR4418
9923	ZBTB40
2046	EPHA8
102466615	MIR6127
712	C1QA
714	C1QC
713	C1QB
2048	EPHB2
100616391	MIR4684
100422914	MIR4253
646262	LACTBL1
729059	TEX46
23028	KDM1A
7798	LUZP1
3352	HTR1D
100996511	LINC01355
10236	HNRNPR
80818	ZNF436
148898	ZNF436-AS1
6920	TCEA3
55616	ASAP3
1870	E2F2
105376859	LOC105376859
3399	ID3
259283	MDS2
107984928	LOC107984928
6135	RPL11
6924	ELOA
100506963	ELOA-AS1
11313	LYPLA2
2582	GALE
3155	HMGCL
2517	FUCA1
1269	CNR2
100616492	MIR378F
10772	SRSF10
107984931	LOC107984931
127294	MYOM3
107985737	MYOM3-AS1
58985	IL22RA1
163702	IFNLR1
57822	GRHL3
284632	LINC02800
105376871	GRHL3-AS1
90529	STPG1
57185	NIPAL3
11123	RCAN3
100506985	NCMAP-DT
400746	NCMAP
10250	SRRM1
25932	CLIC4
102465437	MIR6731
864	RUNX3
105376878	RUNX3-AS1
100616365	MIR4425
105376879	LINC02793
25949	SYF2
57035	RSRP1
6007	RHD
23585	TMEM50A
6006	RHCE
55219	MACO1
26119	LDLRAP1
57134	MAN1C1
57190	SELENON
56181	MTFR1L
79000	AUNIP
164091	PAQR7
3925	STMN1
5051	PAFAH2
124900433	LOC124900433
2134	EXTL1
7780	SLC30A2
84676	TRIM63
149420	PDIK1L
79927	FAM110D
110806296	C1orf232
51042	ZNF593
10256	CNKSR1
378807	CATSPER4
101928303	ZPLD2P
64793	CEP85
83442	SH3BGRL3
91544	UBXN11
55057	CRYBG2
257101	ZNF683
79727	LIN28A
79947	DHDDS
3151	HMGN2
6195	RPS6KA1
100302190	MIR1976
124904769	LOC124904769
124904813	LOC124904813
8289	ARID1A
55650	PIGV
84243	ZDHHC18
2810	SFN
54707	GPN2
8431	NR0B2
10726	NUDC
126695	KDF1
646567	OSTCP2
388610	TRNP1
115572	TENT5B
6548	SLC9A1
105376890	WDTC1-DT
23038	WDTC1
84065	TMEM222
84958	SYTL1
9064	MAP3K6
8547	FCN3
388611	CD164L2
2827	GPR3
10163	WASF2
105376892	LOC105376892
27245	AHDC1
2268	FGR
111216282	LINC02574
2537	IFI6
199870	FAM76A
23673	STX12
677774	SCARNA1
9473	THEMIS2
6118	RPA2
27293	SMPDL3B
55113	XKR8
2140	EYA3
5724	PTAFR
93974	ATP5IF1
83667	SESN2
54797	MED18
65979	PHACTR4
1104	RCC1
54952	TRNAU1AP
692212	SNORD99
115273	RAB42
6883	TAF12
26824	RNU11
10691	GMEB1
4985	OPRD1
2035	EPB41
399474	TMEM200B
51102	MECR
10076	PTPRU
101928460	LINC01756
101929406	LINC01648
4146	MATN1
100129196	MATN1-AS1
100616164	MIR4420
7805	LAPTM5
105378622	LINC01778
400748	LOC400748
9672	SDC3
9698	PUM1
79570	NKAIN1
9410	SNRNP40
51538	ZCCHC17
2170	FABP3
347735	SERINC2
149086	LDC1P
284551	LINC01226
124903917	LOC124903917
105378626	LOC105378626
64129	TINAGL1
3061	HCRTR1
1307	COL16A1
576	ADGRB2
90853	SPOCD1
8073	PTP4A2
10657	KHDRBS1
55116	TMEM39B
100847018	MIR5585
200081	TXLNA
79140	CCDC28B
149069	DCDC2B
56063	TMEM234
8668	EIF3I
339483	MTMR9LP
84734	FAM167B
3932	LCK
3065	HDAC1
65108	MARCKSL1
124903933	LOC124903933
81629	TSSK3
100128071	FAM229A
55108	BSDC1
653121	ZBTB8A
728116	ZBTB8B
339487	ZBTB8OS
81493	SYNC
57648	NHSL3
8565	YARS1
64766	S100PBP
252995	FNDC5
3208	HPCA
113452	TMEM54
127544	RNF19B
204	AK2
113451	AZIN2
55223	TRIM62
149076	ZNF362
127550	A3GALT2
100500853	MIR3605
1912	PHC2
101929464	PHC2-AS1
7579	ZSCAN20
114784	CSMD2
127540	HMGB4
402779	CSMD2-AS1
84970	C1orf94
693137	MIR552
105378641	LOC105378641
2709	GJB5
127534	GJB4
2707	GJB3
2701	GJA4
113444	SMIM12
58512	DLGAP3
653160	GPR199P
79830	ZMYM1
105378644	LOC105378644
6421	SFPQ
9202	ZMYM4
79932	KIAA0319L
23154	NCDN
339488	TFAP2E
5690	PSMB2
127703	C1orf216
63967	CLSPN
192670	AGO4
26523	AGO1
192669	AGO3
27285	TEKT2
1296	COL8A2
27095	TRAPPC3
55700	MAP7D1
9967	THRAP3
79729	SH3D21
55194	EVA1B
83931	STK40
84967	LSM10
127700	OSCP1
64960	MRPS15
1441	CSF3R
124904023	LOC124904023
2899	GRIK3
124904027	LOC124904027
100422898	MIR4255
107984942	LOC107984942
80149	ZC3H12A
100847010	MIR5581
64769	MEAF6
7802	DNALI1
29889	GNL2
284654	RSPO1
54955	AIRIM
284656	EPHA10
149175	MANEAL
79693	YRDC
3633	INPP5B
2275	FHL3
51118	UTP11
5453	POU3F1
105378653	MIR3659HG
100500801	MIR3659
105378655	LINC02786
105378654	LOC105378654
339442	LINC01343
105378656	LINC01685
64121	RRAGC
105378662	LOC105378662
100527950	GJA9-MYCBP
54933	RHBDL2
79647	AKIRIN1
4725	NDUFS5
23499	MACF1
353500	BMP8A
192217	OXCT2P1
728448	PPIEL
8761	PABPC4
26508	HEYL
84618	NT5C1A
51440	HPCAL4
10450	PPIE
64064	OXCT2
105378666	BMP8B-AS1
656	BMP8B
101929536	LOC101929536
54802	TRIT1
105378668	MYCL-AS1
4610	MYCL
84879	MFSD2A
10487	CAP1
5538	PPT1
6018	RLF
127391	TMCO2
1298	COL9A2
64744	SMAP2
65243	ZFP69B
64789	EXO5
127396	ZNF684
105378675	LOC105378675
9783	RIMS3
4802	NFYC
9132	KCNQ4
163732	CITED4
124904157	LOC124904157
1503	CTPS1
100507178	SLFNL1-AS1
200172	SLFNL1
22955	SCMH1
102723924	SCMH1-DT
124904158	LOC124904158
100132074	FOXO6
101929901	FOXO6-AS1
1907	EDN2
59269	HIVEP3
124904161	LOC124904161
2981	GUCA2B
2980	GUCA2A
22887	FOXJ3
284716	RIMKLA
84217	ZMYND12
728621	CCDC30
10465	PPIH
124904162	LOC124904162
149461	CLDN19
64175	P3H1
79078	C1orf50
100129924	TMEM269
374969	SVBP
114625	ERMAP
124904163	LOC124904163
51058	ZNF691
6513	SLC2A1
440584	SLC2A1-DT
440585	CFAP144
149465	CFAP57
10969	EBNA1BP2
105378685	LOC105378685
128218	TMEM125
149466	C1orf210
7075	TIE1
4352	MPL
105378687	CDC20-DT
102466723	MIR6734
64834	ELOVL1
107984947	MED8-AS1
112950	MED8
23334	SZT2
81888	HYI
5792	PTPRF
9682	KDM4A
100132774	KDM4A-AS1
6487	ST3GAL3
102464830	MIR6079
9048	ARTN
9670	IPO13
1802	DPH2
8704	B4GALT2
149473	CCDC24
6536	SLC6A9
107984948	LOC107984948
128209	KLF17
105378952	KLF18
55929	DMAP1
100874278	ERI3-IT1
79033	ERI3
55182	RNF220
100847089	MIR5584
79639	TMEM53
339541	ARMH1
26828	RNU5F-1
26830	RNU5D-1
11004	KIF2C
94161	SNORD46
94163	SNORD38B
266675	BEST4
1263	PLK3
149478	BTBD19
8643	PTCH2
8891	EIF2B3
79654	HECTD3
7389	UROD
57643	ZSWIM5
400752	LINC01144
84842	HPDL
4595	MUTYH
114034	TOE1
10420	TESK2
126661	CCDC163
25974	MMACHC
5052	PRDX1
10327	AKR1A1
4678	NASP
149483	CCDC17
3652	IPP
23139	MAST2
101929626	LOC101929626
10103	TSPAN1
55624	POMGNT1
541468	LURAP1
8438	RAD54L
10489	LRRC41
7388	UQCRH
387338	NSUN4
2166	FAAH
729041	FAAHP1
101929651	LINC01398
127343	DMBX1
105378696	TMEM275
148930	KNCN
8569	MKNK1
148932	MOB3C
64756	ATPAF1
9813	EFCAB14
105378699	LOC105378699
1580	CYP4B1
163720	CYP4Z2P
1579	CYP4A11
260293	CYP4X1
199974	CYP4Z1
284541	CYP4A22
100874253	LINC00853
105378701	LOC105378701
10158	PDZK1IP1
6886	TAL1
6491	STIL
102724077	LINC01389
2301	FOXE3
84793	FOXD2-AS1
2306	FOXD2
107984953	LINC01738
388630	TRABD2B
105379778	LINC02794
391037	SKINT1L
200010	SLC5A9
54558	SPATA6
79656	BEND5
105378706	LOC105378706
84871	AGBL4
1996	ELAVL4
105378711	LOC105378711
105378712	LINC02808
63950	DMRTA2
105378714	LOC105378714
105378715	FAF1-AS1
1031	CDKN2C
100616189	MIR4421
102466656	MIR6500
284546	C1orf185
105378716	LINC01562
22996	TTC39A
105378720	EPS15-AS1
2060	EPS15
114883	OSBPL9
441884	CALR4P
4898	NRDC
5865	RAB3B
51060	TXNDC12
91408	BTF3L4
9372	ZFYVE9
200014	CC2D1B
4998	ORC1
23318	TUT4
2882	GPX7
348378	SHISAL2A
65260	COA7
79699	ZYG11B
55268	ECHDC2
6342	SCP2
127435	PODN
6512	SLC1A7
105379783	LOC105379783
1376	CPT2
54987	CZIB
7804	LRP8
107984957	LINC02812
163742	SLC25A3P1
63948	DMRTB1
148979	GLIS1
124900439	LOC124900439
55706	NDC1
54432	YIPF1
1733	DIO1
51668	IFT25
115353	LRRC42
388633	LDLRAD1
9528	TMEM59
127428	TCEANC2
200008	CDCP2
606495	CYB5RL
23648	SSBP3
105378735	LOC105378735
105378734	LINC02784
26027	ACOT11
338094	FAM151A
100527960	MROH7-TTC4
374977	MROH7
7268	TTC4
25973	PARS2
55001	TTC22
124904182	LOC124904182
163747	CIMAP2
1718	DHCR24
105378736	LOC105378736
7809	BSND
255738	PCSK9
23358	USP24
100616272	MIR4422
105378737	LOC105378737
105378738	LINC01755
105378739	LINC01753
124904187	LOC124904187
124904188	LOC124904188
124904186	LOC124904186
105378744	LINC01767
124904185	LOC124904185
8613	PLPP3
101929935	LOC101929935
199920	FYB2
731	C8A
732	C8B
112267900	LOC112267900
1600	DAB1
101926890	DAB1-AS1
115209	OMA1
4070	TACSTD2
114803	MYSM1
105378751	LOC105378751
3725	JUN
101926907	LOC101926907
105378753	LINC02777
101926925	LINC01358
729467	HSD52
105378756	FGGY-DT
55277	FGGY
100616409	MIR4711
105378758	LOC105378758
51361	HOOK1
1573	CYP2J2
127795	C1orf87
107984963	LOC107984963
105378763	LINC01748
101926964	LOC101926964
4774	NFIA
100996570	NFIA-AS2
645030	NFIA-AS1
414927	MGC34796
10207	PATJ
54596	L1TD1
163782	KANK4
7398	USP1
85440	DOCK7
84938	ATG4C
105378769	LINC01739
199899	LINC00466
100996301	FOXD3-AS1
102464823	MIR6068
29929	ALG6
102724319	LOC102724319
5236	PGM1
4919	ROR1
101927034	ROR1-AS1
148581	UBE2U
124904732	LOC124904732
57685	CACHD1
55225	RAVER2
3716	JAK1
101927084	LINC01359
100500854	MIR3671
205	AK4
9829	DNAJC6
54741	LEPROT
3953	LEPR
5142	PDE4B
84251	SGIP1
200132	DYNLT5
10022	INSL5
79819	DNAI4
57708	MIER1
23169	SLC35D1
124900434	LOC124900434
149233	IL23R
400757	C1orf141
3595	IL12RB2
26135	SERBP1
102724481	LINC01702
1647	GADD45A
100289178	GNG12-AS1
55970	GNG12
124900403	LOC124900403
9077	DIRAS3
79971	WLS
6121	RPE65
55635	DEPDC1
105378787	LOC105378787
105378786	LINC02791
105378788	LINC01758
57554	LRRC7
5301	PIN1P1
105378792	LRRC7-AS1
102724548	LINC03102
1491	CTH
101927244	LINC01788
5733	PTGER3
100132618	ZRANB2-AS1
100852410	ZRANB2-DT
257194	NEGR1
100852409	NEGR1-IT1
105378797	LOC105378797
105378798	LOC105378798
105378799	LINC02797
101927295	LINC01360
109729166	LINC02238
127255	LRRIQ3
51086	TNNI3K
100526835	FPGT-TNNI3K
105378803	LRRC53
101927320	ERICH3-AS1
127254	ERICH3
1429	CRYZ
127253	TYW3
431707	LHX8
204962	SLC44A5
4438	MSH4
101927342	LOC101927342
124904200	LOC124904200
256435	ST6GALNAC3
110806286	LINC02567
81849	ST6GALNAC5
102466995	MIR7156
26289	AK5
124904202	LOC124904202
26009	ZZZ3
374986	MIGA1
91624	NEXN
54810	GIPC2
149047	MGC27382
5737	PTGFR
10561	IFI44
64123	ADGRL4
107983999	LINC02792
101927412	LINC01781
23266	ADGRL2
101927434	LOC101927434
124904204	LOC124904204
101927498	LINC01361
101927542	LINC01712
101927587	LINC01725
101927560	LOC101927560
79739	TTLL7
5567	PRKACB
124904808	LOC124904808
148418	SAMD13
391051	UOX
103695366	LINC01461
439927	LINC01555
117178	SSX2IP
23566	LPAR3
255231	MCOLN2
126820	DNAI3
55283	MCOLN3
100616481	MIR4423
84144	SYDE2
646626	BCL10-AS1
23576	DDAH1
124904208	LOC124904208
3491	CCN1
124900422	LOC124900422
54680	ZNHIT6
255631	COL24A1
105378824	LINC02795
124904209	LOC124904209
9635	CLCA2
1179	CLCA1
22802	CLCA4
9629	CLCA3P
105378828	CLCA4-AS1
51100	SH3GLB1
105378831	LOC105378831
9653	HS2ST1
339524	LINC01140
101927844	LINC02801
8543	LMO4
100505768	LINC01364
107985519	LINC01773
107985518	LOC107985518
105378839	LOC105378839
101927891	PKN2-AS1
2959	GTF2B
494115	RBMXL1
2633	GBP1
2634	GBP2
400759	GBP1P1
23507	LRRC8B
128092251	LOC128092251
84230	LRRC8C
400761	LRRC8C-DT
101927975	LOC101927975
55144	LRRC8D
492303	GEMIN8P4
284695	ZNF326
105378849	LOC105378849
105378850	LOC105378850
105378852	LINC02787
109616984	SNORD3G
343472	BARHL2
105378853	LINC02609
105378854	LINC01763
84146	ZNF644
164045	HFM1
8317	CDC7
7049	TGFBR3
676	BRDT
253152	EPHX4
284697	BTBD8
388649	C1orf146
2672	GFI1
7813	EVI5
6125	RPL5
388650	DIPK1A
124904219	LOC124904219
22823	MTF2
343099	CCDC18
54874	FNBP1L
8412	BCAR3
30836	DNTTIP2
2730	GCLM
24	ABCA4
105378858	LOC105378858
9411	ARHGAP29
107985092	ARHGAP29-AS1
5825	ABCD3
2152	F3
124904223	LOC124904223
101928079	SLC44A3-AS1
100616321	MIR378G
126969	SLC44A3
1266	CNN3
729970	CNN3-DT
199857	ALG14
148534	TLCD4
100527978	TLCD4-RWDD3
25950	RWDD3
101928118	RWDD3-DT
100996630	LINC01760
101928169	LINC01650
440594	LINC01761
100996635	LINC02607
101928219	LOC101928219
102723661	LINC02790
101928241	LINC01787
58155	PTBP2
100873932	DPYD-AS1
1806	DPYD
400765	MIR137HG
729987	LINC01776
51375	SNX7
100129620	PLPPR5-AS1
163404	PLPPR5
9890	PLPPR4
101928270	LINC01708
54873	PALMD
391059	FRRS1
178	AGL
23443	SLC35A3
127495	LRRC39
1629	DBT
693138	MIR553
8556	CDC14A
54112	GPR88
100128787	LINC01349
148867	SLC30A7
101928334	LOC101928334
101928370	S1PR1-DT
104355286	LINC01307
105378872	LINC01709
118427	OLFM3
112268286	LOC112268286
1301	COL11A1
101928436	RNPC3-DT
648740	ACTG1P4
280	AMY2B
279	AMY2A
276	AMY1A
277	AMY1B
278	AMY1C
100129138	LOC100129138
105378880	LOC105378880
101928476	LINC01676
105378886	LOC105378886
105378889	LINC01661
55170	PRMT6
22854	NTNG1
10451	VAV3
102465839	MIR7852
107985124	LINC02785
29957	SLC25A24
148545	NBPF4
653149	NBPF6
284611	EEIG2
113802	HENMT1
105378890	LOC105378890
55119	PRPF38B
163479	FNDC7
6814	STXBP3
254268	AKNAD1
29899	GPSM2
23155	CLCC1
22911	WDR47
56900	TMEM167B
677766	SCARNA2
127003	CFAP276
57535	ELAPOR1
6301	SARS1
1952	CELSR2
84722	PSRC1
343263	MYBPHL
6272	SORT1
5686	PSMA5
284612	SYPL2
127002	ATXN7L2
284613	CYB561D1
57463	AMIGO1
83873	GPR61
2780	GNAT2
271	AMPD2
2948	GSTM4
2946	GSTM2
2944	GSTM1
2949	GSTM5
2947	GSTM3
79574	EPS8L3
107985167	LINC01768
1435	CSF1
10768	AHCYL1
85369	STRIP1
257	ALX3
104355139	LINC01397
164153	UBL4B
388662	SLC6A17
105378897	SLC6A17-AS1
100873974	KCNC4-DT
3749	KCNC4
64783	RBM15
101410535	LAMTOR5-AS1
84432	PROK1
105378898	LOC105378898
643160	CYMP
440602	CYMP-AS1
3744	KCNA10
3737	KCNA2
3738	KCNA3
963	CD53
55791	LRIF1
79961	DENND2D
1117	CHI3L2
149620	CHIAP2
27159	CHIA
128344	CIMAP3
105378904	LOC105378904
441897	PGBP
5016	OVGP1
79084	WDR77
515	ATP5PB
57413	TMIGD3
5906	RAP1A
100129269	LINC01160
55924	INKA2
100506343	INKA2-AS1
11218	DDX20
3752	KCND3
100874295	KCND3-IT1
100873995	KCND3-AS1
643355	LINC01750
105378909	LINC02884
124904812	LOC124904812
55917	CTTNBP2NL
7482	WNT2B
54879	ST7L
4343	MOV10
389	RHOC
333926	PPM1J
284467	TAFA3
128322	NUTF2P4
100996702	LINC01356
6566	SLC16A1
107985189	LOC107985189
100996251	LRIG2-DT
9860	LRIG2
260425	MAGI3
64858	DCLRE1B
101928846	HIPK1-AS1
56944	OLFML3
148281	SYT6
107985443	LOC107985443
51592	TRIM33
10286	BCAS2
163259	DENND2C
270	AMPD1
7812	CSDE1
80143	SIKE1
6847	SYCP1
7252	TSHB
10100	TSPAN2
105378916	LINC01765
112840934	NGF-AS1
4803	NGF
112268234	LOC112268234
124900438	LOC124900438
81839	VANGL1
845	CASQ2
4808	NHLH2
101928995	LINC01649
55356	SLC22A15
126868	MAB21L3
124904669	LOC124904669
105378920	LOC105378920
476	ATP1A1
84852	ATP1A1-AS1
101929023	LINC01762
112268235	LOC112268235
965	CD58
100616384	MIR548AC
3321	IGSF3
100302117	MIR320B1
388667	LINC02868
914	CD2
5738	PTGFRN
9398	CD101
101929099	CD101-AS1
8458	TTF2
100126331	MIR942
80263	TRIM45
79679	VTCN1
104355292	LINC01525
10905	MAN1A2
100996263	TENT5C-DT
54855	TENT5C
124900444	LOC124900444
54834	GDAP2
200162	SPAG17
105378930	LOC105378930
6913	TBX15
105378933	LOC105378933
104472716	WARS2-IT1
10352	WARS2
101929147	WARS2-AS1
105378934	LINC01780
51179	HAO2
100874270	HAO2-IT1
3284	HSD3B2
3283	HSD3B1
644242	LINC00622
90874	ZNF697
26227	PHGDH
3158	HMGCS2
83998	REG4
343505	NBPF7P
11085	ADAM30
4853	NOTCH2
9554	SEC22B
124904631	LOC124904631
728841	NBPF8
767846	PFN1P2
100996724	PDE4DIPP2
101929796	NOTCH2NLR
101060684	NBPF26
101954277	RNVU1-19
728855	LINC00623
100996720	LOC100996720
101954264	RNVU1-4
105369199	LOC105369199
101929798	PDE4DIPP4
2210	FCGR1BP
100996318	LOC100996318
337875	H2BP1
106479023	H3P4
653820	FAM72B
653464	SRGAP2C
107985194	LINC02798
647121	EMBP1
107985200	LOC107985200
112268275	LINC02799
112268273	LOC112268273
101954269	RNVU1-17
26863	RNVU1-18
105369140	LOC105369140
199882	PDE4DIPP3
100132417	FCGR1CP
338391	H2BP2
440686	H3-7
554282	FAM72C
100996712	SRGAP2D
100996732	LINC02802
730262	PPIAL4E
101954267	RNVU1-15
284565	NBPF15
124904624	LOC124904624
6063	RNVU1-2A
124904616	LOC124904616
728945	PPIAL4F
101929826	LINC01632
101927429	KMT2CP1
645166	LSP1P5
647135	SRGAP2B
101929805	LOC101929805
103091866	LINC01145
100996740	LOC100996740
645142	PPIAL4D
101954266	RNVU1-14
100288142	NBPF20
124904619	LOC124904619
101060254	PDE4DIPP5
101929780	NBPF25P
653519	GPR89A
5174	PDZK1
11126	CD160
10623	POLR3C
200035	NUDT17
10401	PIAS3
148741	ANKRD35
8515	ITGA10
8799	PEX11B
105371260	LIX1L-AS1
284615	ANKRD34A
10628	TXNIP
148738	HJV
101928979	LINC01719
100132406	NBPF10
388677	NOTCH2NLA
170688	NUDT4P2
105371242	PPIAL4H
124904613	LOC124904613
100996756	LOC100996756
