seqnames	start	end	width	strand	fold_change	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	gene_symbol
chr8	139862696	139866680	3985	*	1.60422951531835	7.31825509991984e-13	Intron (ENST00000438773.4/83696, intron 21 of 22)	8	139730996	139881295	150300	2	83696	ENST00000522504.5	14615	ENSG00000167632	TRAPPC9	trafficking protein particle complex subunit 9	TRAPPC9
chr7	151010628	151013186	2559	*	1.4899529651286	7.54752330421774e-13	Promoter (<=1kb)	7	151012406	151013529	1124	1	4846	ENST00000475454.1	0	ENSG00000164867	NOS3	nitric oxide synthase 3	NOS3
chr4	1758525	1762711	4187	*	1.7289410525533	8.31284815938207e-13	Distal Intergenic	4	1744439	1745076	638	1	10460	ENST00000484264.1	14086	ENSG00000013810	TACC3	transforming acidic coiled-coil containing protein 3	TACC3
chr9	135700632	135703922	3291	*	1.5899117071939	8.70138137946579e-13	Promoter (<=1kb)	9	135702185	135792161	89977	1	57582	ENST00000487664.5	0	ENSG00000107147	KCNT1	potassium sodium-activated channel subfamily T member 1	KCNT1
chr1	3000918	3004052	3135	*	1.73185022341504	1.01537656458662e-12	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	-17415	ENSG00000169717	ACTRT2	actin related protein T2	ACTRT2
chr8	141428864	141431884	3021	*	1.64200985452355	1.46377700560803e-12	Promoter (2-3kb)	8	141434545	141437954	3410	1	107983985	ENST00000606664.1	-2661	NA	LOC107983985	Putative chemokine-related protein FP248	LOC107983985
chr17	38882768	38887638	4871	*	1.43398270736686	1.56146196942796e-12	Promoter (2-3kb)	17	38890234	38915129	24896	1	3927	ENST00000581485.1	-2596	ENSG00000002834	LASP1	LIM and SH3 protein 1	LASP1
chr8	142781445	142788968	7524	*	1.57782293494299	1.91257982580664e-12	Promoter (<=1kb)	8	142784882	142786529	1648	2	8581	ENST00000518434.1	0	ENSG00000167656	LY6D	lymphocyte antigen 6 family member D	LY6D
chr1	2979083	2982280	3198	*	1.74643446266118	2.00243828692827e-12	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	-39187	ENSG00000169717	ACTRT2	actin related protein T2	ACTRT2
chr11	845041	848440	3400	*	1.67673928453813	2.38377245310913e-12	Promoter (<=1kb)	11	847197	862834	15638	1	7106	ENST00000526055.5	0	ENSG00000214063	TSPAN4	tetraspanin 4	TSPAN4
chr9	136606589	136611678	5090	*	1.62140379308523	2.4605997507225e-12	Distal Intergenic	9	136612024	136615637	3614	2	401561	ENST00000626304.2	3959	ENSG00000279141	LINC01451	long intergenic non-protein coding RNA 1451	LINC01451
chr17	82314247	82317964	3718	*	1.64164665327708	2.4605997507225e-12	Promoter (<=1kb)	17	82314868	82317577	2710	2	924	ENST00000584284.5	0	ENSG00000173762	CD7	CD7 molecule	CD7
chr1	1434563	1438753	4191	*	1.69754993159169	2.55593132334097e-12	Promoter (<=1kb)	1	1430539	1434573	4035	2	102724312	ENST00000430109.1	0	NA	LINC01770	long intergenic non-protein coding RNA 1770	LINC01770
chr22	50011863	50017421	5559	*	1.69103909728914	2.67937381808511e-12	Promoter (<=1kb)	22	49991811	50012659	20849	2	400935	ENST00000389983.7	0	ENSG00000188263	IL17REL	interleukin 17 receptor E like	IL17REL
chr17	1298019	1301631	3613	*	1.4062264350154	3.46017249769553e-12	3' UTR	17	1279662	1300978	21317	1	286753	ENST00000333813.4	18357	ENSG00000184811	TRARG1	trafficking regulator of GLUT4 (SLC2A4) 1	TRARG1
chr15	63338196	63341316	3121	*	1.37795494595058	3.46017249769553e-12	Promoter (<=1kb)	15	63340022	63342074	2053	2	771	ENST00000558287.1	758	ENSG00000074410	CA12	carbonic anhydrase 12	CA12
chr20	63372961	63375319	2359	*	1.4862107269118	4.40598689831997e-12	Promoter (2-3kb)	20	63344069	63377993	33925	2	1137	ENST00000463705.5	2674	ENSG00000101204	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit	CHRNA4
chr17	61443159	61448073	4915	*	1.44676734544421	4.40598689831997e-12	Distal Intergenic	17	61452404	61478740	26337	1	9496	ENST00000589003.5	-4331	ENSG00000121075	TBX4	T-box transcription factor 4	TBX4
chr17	81166863	81168261	1399	*	1.74978761152465	4.69167183841656e-12	Promoter (<=1kb)	17	81117295	81166221	48927	2	9625	ENST00000326724.9	-642	ENSG00000181409	AATK	apoptosis associated tyrosine kinase	AATK
chr8	142796267	142799036	2770	*	1.62316955335512	4.70257096488475e-12	Exon (ENST00000637396.2/ENST00000637396.2, exon 3 of 3)	8	142784882	142786539	1658	2	8581	ENST00000301263.5	-9728	ENSG00000167656	LY6D	lymphocyte antigen 6 family member D	LY6D
chr4	1790560	1792962	2403	*	1.55051072960277	5.07906968456112e-12	Promoter (<=1kb)	4	1793293	1808867	15575	1	2261	ENST00000340107.9	-331	ENSG00000068078	FGFR3	fibroblast growth factor receptor 3	FGFR3
chr17	73641579	73644277	2699	*	1.6247671698915	5.68909090188267e-12	Promoter (<=1kb)	17	73334384	73644445	310062	2	54549	ENST00000392650.8	168	ENSG00000069188	SDK2	sidekick cell adhesion molecule 2	SDK2
chr7	2474477	2480772	6296	*	1.59922621883502	6.70065805670659e-12	Promoter (<=1kb)	7	2474728	2476398	1671	2	402635	ENST00000614228.2	0	ENSG00000275572	GRIFIN	galectin-related inter-fiber protein	GRIFIN
chr4	1603365	1605511	2147	*	1.6480522476421	7.6441141622801e-12	Distal Intergenic	4	1574055	1580527	6473	2	152877	ENST00000466692.3	-22838	ENSG00000174137	FAM53A	family with sequence similarity 53 member A	FAM53A
chr19	48121973	48126281	4309	*	1.42324104236535	8.30776378830481e-12	Promoter (<=1kb)	19	48121272	48123623	2352	2	3978	ENST00000596332.1	0	ENSG00000105486	LIG1	DNA ligase 1	LIG1
chr11	19765667	19770098	4432	*	1.31786655328303	1.02644936458451e-11	Intron (ENST00000360655.8/89797, intron 1 of 37)	11	19760004	19760083	80	2	100616426	ENST00000578534.1	-5584	ENSG00000264309	MIR4694	microRNA 4694	MIR4694
chr1	2425271	2428348	3078	*	1.50329566572188	1.14661113460025e-11	Promoter (<=1kb)	1	2425980	2479804	53825	1	9651	ENST00000609981.5	0	ENSG00000149527	PLCH2	phospholipase C eta 2	PLCH2
chr17	74220554	74225876	5323	*	1.39657250433343	1.74019931755932e-11	Promoter (<=1kb)	17	74222644	74244073	21430	1	94015	ENST00000578825.5	0	ENSG00000141540	TTYH2	tweety family member 2	TTYH2
chr3	183131384	183135801	4418	*	1.41288564736615	1.86470279940635e-11	Exon (ENST00000265598.8/27074, exon 5 of 6)	3	183015218	183116075	100858	2	56922	ENST00000492597.5	-15309	ENSG00000078070	MCCC1	methylcrotonyl-CoA carboxylase subunit 1	MCCC1
chr11	61753458	61756582	3125	*	1.54517350279396	2.00020352048394e-11	Promoter (<=1kb)	11	61755389	61788517	33129	1	745	ENST00000265460.9	0	ENSG00000124920	MYRF	myelin regulatory factor	MYRF
chr7	155992620	155994603	1984	*	1.4329311030118	2.15340350412096e-11	Distal Intergenic	7	155962632	155966343	3712	1	389602	ENST00000377722.2	29988	ENSG00000204876	LOC389602	uncharacterized LOC389602	LOC389602
chr17	81161010	81165320	4311	*	1.72804777187149	2.30325997861435e-11	Promoter (<=1kb)	17	81165507	81183164	17658	1	388428	ENST00000414089.5	-187	ENSG00000225180	PVALEF	parvalbumin like EF-hand containing	PVALEF
chr9	137435584	137441392	5809	*	1.6655289107328	2.73858740879446e-11	Promoter (<=1kb)	9	137434364	137441357	6994	2	377841	ENST00000371506.7	0	ENSG00000188833	ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8	ENTPD8
chr1	3439374	3444457	5084	*	1.33773683637602	2.73858740879446e-11	Distal Intergenic	1	3454665	3481113	26449	1	27237	ENST00000378378.9	-10208	ENSG00000130762	ARHGEF16	Rho guanine nucleotide exchange factor 16	ARHGEF16
chr6	154602747	154605893	3147	*	1.44303817368012	2.79300904783346e-11	Exon (ENST00000427423.1/ENST00000427423.1, exon 1 of 1)	6	154510770	154522307	11538	1	101928868	ENST00000658375.2	91977	ENSG00000287260	LOC101928868	uncharacterized LOC101928868	LOC101928868
chr9	137303645	137307688	4044	*	1.65615540012969	3.24107496535979e-11	Promoter (1-2kb)	9	137299631	137302271	2641	2	441478	ENST00000356628.4	-1374	ENSG00000198435	NRARP	NOTCH regulated ankyrin repeat protein	NRARP
chr8	143394232	143397403	3172	*	1.53147195440129	3.27175539466919e-11	Distal Intergenic	8	143379337	143382779	3443	1	114822	ENST00000522899.1	14895	ENSG00000158106	RHPN1	rhophilin Rho GTPase binding protein 1	RHPN1
chr20	41363762	41365248	1487	*	1.78605058165475	3.52827094485781e-11	Promoter (1-2kb)	20	41359962	41366818	6857	2	90187	ENST00000332312.4	1570	ENSG00000183798	EMILIN3	elastin microfibril interfacer 3	EMILIN3
chr1	1073376	1075295	1920	*	1.67433485505306	3.60439873388245e-11	Promoter (<=1kb)	1	1070967	1074306	3340	2	401934	ENST00000453464.3	0	ENSG00000237330	RNF223	ring finger protein 223	RNF223
chr8	143419713	143427893	8181	*	1.55872779057514	3.69699547870342e-11	Promoter (2-3kb)	8	143417679	143419150	1472	1	104326051	ENST00000519762.1	2034	ENSG00000254338	MAFA-AS1	MAFA antisense RNA 1	MAFA-AS1
chr5	149850358	149859824	9467	*	1.22350545265298	3.69865008671865e-11	3' UTR	5	149845643	149847757	2115	1	133522	ENST00000492495.1	4715	ENSG00000155846	PPARGC1B	PPARG coactivator 1 beta	PPARGC1B
chr4	1488753	1496668	7916	*	1.48666819137424	4.00161153580145e-11	Distal Intergenic	4	1402932	1406442	3511	2	54729	ENST00000422806.2	-82311	ENSG00000235608	NKX1-1	NK1 homeobox 1	NKX1-1
chr6	168394105	168397186	3082	*	1.51085374032743	4.10166614845814e-11	Distal Intergenic	6	168441151	168667994	226844	1	64094	ENST00000354536.9	-43965	ENSG00000112562	SMOC2	SPARC related modular calcium binding 2	SMOC2
chr17	17377586	17381367	3782	*	1.34712699510451	4.41945140089325e-11	Distal Intergenic	17	17345269	17347152	1884	1	56953	ENST00000480529.1	32317	ENSG00000205309	NT5M	5',3'-nucleotidase, mitochondrial	NT5M
chr7	150943086	150946608	3523	*	1.47605764778005	4.50002778514461e-11	3' UTR	7	150950680	150951516	837	2	3757	ENST00000683359.1	4908	ENSG00000055118	KCNH2	potassium voltage-gated channel subfamily H member 2	KCNH2
chr11	76281794	76284201	2408	*	1.46546369443727	4.64930363446755e-11	Distal Intergenic	11	76210956	76216025	5070	2	107984359	ENST00000531538.1	-65769	ENSG00000255362	LINC02761	long intergenic non-protein coding RNA 2761	LINC02761
chr4	2441691	2444497	2807	*	1.53333300241238	4.8655532313098e-11	Promoter (<=1kb)	4	2443197	2450356	7160	1	402160	ENST00000514556.5	0	ENSG00000206113	CFAP99	cilia and flagella associated protein 99	CFAP99
chr17	81739425	81742091	2667	*	1.42061452998451	5.90792183028688e-11	Distal Intergenic	17	81715972	81720451	4480	1	1468	ENST00000573246.1	23453	ENSG00000183048	SLC25A10	solute carrier family 25 member 10	SLC25A10
chr19	33223569	33226425	2857	*	1.49018020973425	5.93395650013386e-11	Promoter (<=1kb)	19	33208664	33225850	17187	2	56301	ENST00000253188.8	0	ENSG00000130876	SLC7A10	solute carrier family 7 member 10	SLC7A10
chr17	81187829	81191786	3958	*	1.5138903770892	6.15581887927412e-11	Promoter (<=1kb)	17	81189827	81192376	2550	2	22994	ENST00000571292.1	590	ENSG00000141577	CEP131	centrosomal protein 131	CEP131
chr4	1749683	1752208	2526	*	1.69890713751922	6.31888811351626e-11	Distal Intergenic	4	1744439	1745076	638	1	10460	ENST00000484264.1	5244	ENSG00000013810	TACC3	transforming acidic coiled-coil containing protein 3	TACC3
chr9	123362559	123363821	1263	*	1.67819060470159	6.31888811351626e-11	Exon (ENST00000359999.7/286204, exon 2 of 10)	9	123368779	123380324	11546	1	286204	ENST00000460253.1	-4958	ENSG00000148204	CRB2	crumbs cell polarity complex component 2	CRB2
chr1	1204829	1206135	1307	*	1.67202233199988	6.37136226432993e-11	Promoter (<=1kb)	1	1203844	1205680	1837	2	8784	ENST00000486728.5	0	ENSG00000186891	TNFRSF18	TNF receptor superfamily member 18	TNFRSF18
chr2	232519474	232524638	5165	*	1.5743555437587	6.45582153346531e-11	Promoter (<=1kb)	2	232520388	232525716	5329	1	646960	ENST00000617714.2	0	ENSG00000237412	PRSS56	serine protease 56	PRSS56
chr17	81954778	81959044	4267	*	1.37279071374568	6.64419709680933e-11	Promoter (<=1kb)	17	81955515	81959810	4296	2	147111	ENST00000477214.5	766	ENSG00000185269	NOTUM	notum, palmitoleoyl-protein carboxylesterase	NOTUM
chr21	45386630	45389128	2499	*	1.41707885015181	7.97879470141868e-11	Distal Intergenic	21	45405165	45513720	108556	1	80781	ENST00000651438.1	-16037	ENSG00000182871	COL18A1	collagen type XVIII alpha 1 chain	COL18A1
chr1	6166386	6167901	1516	*	1.57468384176836	7.97879470141868e-11	Intron (ENST00000262450.8/26038, intron 2 of 41)	1	6105091	6180023	74933	2	26038	ENST00000496404.1	12122	ENSG00000116254	CHD5	chromodomain helicase DNA binding protein 5	CHD5
chr19	33267233	33269517	2285	*	1.55589440778105	8.19917403464927e-11	Distal Intergenic	19	33299934	33302534	2601	2	1050	ENST00000498907.3	33017	ENSG00000245848	CEBPA	CCAAT enhancer binding protein alpha	CEBPA
chr17	76011642	76016385	4744	*	1.45773652671511	8.32290792354741e-11	Promoter (<=1kb)	17	76011521	76012291	771	2	2125	ENST00000593037.1	0	ENSG00000167880	EVPL	envoplakin	EVPL
chr16	88937106	88940548	3443	*	1.55741793911216	8.53312494700504e-11	Promoter (<=1kb)	16	88939789	88951524	11736	1	100129697	ENST00000378347.2	0	NA	LOC100129697	uncharacterized LOC100129697	LOC100129697
chr11	61286101	61288574	2474	*	1.56232458217591	9.42722020427874e-11	3' UTR	11	61286263	61295026	8764	2	220001	ENST00000538579.1	6452	ENSG00000167992	VWCE	von Willebrand factor C and EGF domains	VWCE
chr9	136291159	136292526	1368	*	1.6772782355886	9.64574842394433e-11	Exon (ENST00000638797.2/399693, exon 5 of 26)	9	136281385	136304070	22686	2	399693	ENST00000563590.2	11544	ENSG00000260220	CCDC187	coiled-coil domain containing 187	CCDC187
chr1	1288358	1293344	4987	*	1.58885427473742	1.03658708846303e-10	Promoter (1-2kb)	1	1287109	1290943	3835	1	6339	ENST00000379099.3	1249	ENSG00000162572	SCNN1D	sodium channel epithelial 1 subunit delta	SCNN1D
chr17	79130797	79132565	1769	*	1.62327395176661	1.09890237690428e-10	Intron (ENST00000583458.5/146713, intron 3 of 13)	17	79089367	79115580	26214	2	146713	ENST00000648001.1	-15217	ENSG00000167281	RBFOX3	RNA binding fox-1 homolog 3	RBFOX3
chr9	137476748	137482490	5743	*	1.42371571975594	1.22003918253372e-10	Promoter (<=1kb)	9	137459953	137479431	19479	2	375775	ENST00000492278.5	0	ENSG00000130653	PNPLA7	patatin like phospholipase domain containing 7	PNPLA7
chr9	136745567	136749449	3883	*	1.45159023075041	1.27332330452343e-10	Promoter (<=1kb)	9	136746893	136746970	78	2	102465431	ENST00000617286.1	0	ENSG00000278756	MIR6722	microRNA 6722	MIR6722
chr7	150985942	150988870	2929	*	1.39916398396976	1.32103838154625e-10	Promoter (2-3kb)	7	150991017	151014588	23572	1	4846	ENST00000297494.8	-2147	ENSG00000164867	NOS3	nitric oxide synthase 3	NOS3
chr2	26474875	26480210	5336	*	1.55091994583233	1.33300596171557e-10	Promoter (<=1kb)	2	26457203	26478042	20840	2	9381	ENST00000338581.10	0	ENSG00000115155	OTOF	otoferlin	OTOF
chr2	235147612	235150930	3319	*	1.41181795786255	1.41980642541485e-10	Distal Intergenic	2	235177896	235178905	1010	1	124907998	ENST00000449362.1	-26966	ENSG00000235293	LOC124907998	uncharacterized LOC124907998	LOC124907998
chr9	77015407	77019499	4093	*	1.38753277128783	1.44436938744538e-10	Promoter (<=1kb)	9	77019655	77020953	1299	1	442425	ENST00000376708.1	-156	ENSG00000204612	FOXB2	forkhead box B2	FOXB2
chr22	24242475	24247975	5501	*	1.36757840504416	1.4584498027187e-10	Promoter (<=1kb)	22	24219654	24245078	25425	2	2687	ENST00000263112.11	0	ENSG00000099998	GGT5	gamma-glutamyltransferase 5	GGT5
chr17	83062361	83063605	1245	*	1.40747395306241	1.65309486605289e-10	Distal Intergenic	17	83030761	83051809	21049	2	146712	ENST00000571218.1	-10552	ENSG00000175711	B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1	B3GNTL1
chr17	28733243	28738494	5252	*	1.32717389160955	1.72099779402235e-10	Promoter (<=1kb)	17	28735278	28738245	2968	1	284086	ENST00000592510.1	0	ENSG00000160602	NEK8	NIMA related kinase 8	NEK8
chr5	533873	534705	833	*	1.75263696606037	1.72918145328852e-10	Promoter (1-2kb)	5	535840	535882	43	2	100616381	ENST00000582112.1	1177	ENSG00000264233	MIR4456	microRNA 4456	MIR4456
chr11	67454791	67459493	4703	*	1.387677869039	1.74741552812249e-10	Promoter (<=1kb)	11	67455354	67461752	6399	1	57010	ENST00000325656.7	0	ENSG00000175544	CABP4	calcium binding protein 4	CABP4
chr11	69488883	69491763	2881	*	1.42617994766059	1.74741552812249e-10	Exon (ENST00000644563.1/101928292, exon 2 of 4)	11	69485611	69494952	9342	1	101928292	ENST00000642898.1	3272	NA	LINC01488	long intergenic non-protein coding RNA 1488	LINC01488
chr11	975148	977796	2649	*	1.40366089008749	1.76128927187025e-10	Exon (ENST00000529818.6/161, exon 5 of 7)	11	984191	987097	2907	1	161	ENST00000690846.1	-6395	ENSG00000183020	AP2A2	adaptor related protein complex 2 subunit alpha 2	AP2A2
chr22	50544711	50548324	3614	*	1.7843399116403	1.76128927187025e-10	Promoter (<=1kb)	22	50545899	50551023	5125	1	113730	ENST00000648057.3	0	ENSG00000130487	KLHDC7B	kelch domain containing 7B	KLHDC7B
chr9	136175244	136179969	4726	*	1.33635706140771	1.98126483200905e-10	Distal Intergenic	9	136196252	136201674	5423	2	8022	ENST00000619587.1	21705	ENSG00000107187	LHX3	LIM homeobox 3	LHX3
chr7	155830072	155837165	7094	*	1.32082639239848	2.03434966571725e-10	Distal Intergenic	7	155799980	155812463	12484	2	6469	ENST00000297261.7	-17609	ENSG00000164690	SHH	sonic hedgehog signaling molecule	SHH
chr7	155447834	155453517	5684	*	1.30701655485549	2.06812707258697e-10	Exon (ENST00000419225.1/ENST00000419225.1, exon 2 of 3)	7	155458129	155464831	6703	1	2020	ENST00000297375.4	-4612	ENSG00000164778	EN2	engrailed homeobox 2	EN2
chr6	167767121	167770857	3737	*	1.44948950953707	2.06812707258697e-10	Exon (ENST00000392115.2/ENST00000392115.2, exon 1 of 1)	6	167751310	167752105	796	1	107986547	ENST00000700873.1	15811	ENSG00000289838	LOC107986547	uncharacterized LOC107986547	LOC107986547
chr16	88491382	88493783	2402	*	1.6621847072886	2.07894900862182e-10	Intron (ENST00000319555.8/161882, intron 3 of 9)	16	88468918	88469031	114	1	100847057	ENST00000577370.1	22464	ENSG00000263456	MIR5189	microRNA 5189	MIR5189
chr21	44281845	44284748	2904	*	1.4538313647461	2.15199019576364e-10	Promoter (1-2kb)	21	44285838	44298648	12811	1	326	ENST00000530812.5	-1090	ENSG00000160224	AIRE	autoimmune regulator	AIRE
chr17	76379531	76383236	3706	*	1.34547835479495	2.24331166217356e-10	Promoter (<=1kb)	17	76381771	76386887	5117	1	8877	ENST00000588682.5	0	ENSG00000176170	SPHK1	sphingosine kinase 1	SPHK1
chr17	82703971	82706590	2620	*	1.41688305193844	2.42350379179394e-10	Distal Intergenic	17	82654973	82698698	43726	2	10966	ENST00000571995.6	-5273	ENSG00000141542	RAB40B	RAB40B, member RAS oncogene family	RAB40B
chr16	2472090	2473530	1441	*	1.74975435325319	2.47885112201382e-10	Promoter (<=1kb)	16	2471297	2474145	2849	1	4917	ENST00000293973.2	793	ENSG00000162068	NTN3	netrin 3	NTN3
chr22	49966368	49970870	4503	*	1.52743413749847	2.58872985815209e-10	Distal Intergenic	22	49962866	49962939	74	1	102465493	ENST00000617625.1	3502	ENSG00000276753	MIR6821	microRNA 6821	MIR6821
chr16	1011135	1015150	4016	*	1.60873603635149	2.60168148596807e-10	Distal Intergenic	16	982086	986978	4893	1	30812	ENST00000566034.1	29049	ENSG00000005513	SOX8	SRY-box transcription factor 8	SOX8
chr17	17384325	17389102	4778	*	1.30492922274213	2.61542601108416e-10	Distal Intergenic	17	17345269	17347152	1884	1	56953	ENST00000480529.1	39056	ENSG00000205309	NT5M	5',3'-nucleotidase, mitochondrial	NT5M
chr1	930430	931369	940	*	1.75128327234068	2.61542601108416e-10	Promoter (<=1kb)	1	930312	944575	14264	1	148398	ENST00000341065.8	118	ENSG00000187634	SAMD11	sterile alpha motif domain containing 11	SAMD11
chr1	3013206	3017034	3829	*	1.46828416160734	2.61542601108416e-10	Distal Intergenic	1	3021467	3022903	1437	1	140625	ENST00000378404.4	-4433	ENSG00000169717	ACTRT2	actin related protein T2	ACTRT2
chr20	62410114	62414887	4774	*	1.41786230513486	2.61542601108416e-10	Promoter (2-3kb)	20	62388634	62407285	18652	2	81928	ENST00000279101.10	-2829	ENSG00000149679	CABLES2	Cdk5 and Abl enzyme substrate 2	CABLES2
chr20	64098601	64101401	2801	*	1.3334258990097	2.6181456480029e-10	Promoter (<=1kb)	20	64102394	64198916	96523	1	4661	ENST00000644172.2	-993	ENSG00000196132	MYT1	myelin transcription factor 1	MYT1
chr9	34573663	34578889	5227	*	1.27954466009109	3.13422761956729e-10	Intron (ENST00000666375.1/415056, intron 3 of 3)	9	34568015	34582829	14815	1	415056	ENST00000438244.1	5648	ENSG00000237159	CNTFR-AS1	CNTFR antisense RNA 1	CNTFR-AS1
chr1	6449217	6450079	863	*	1.51248474216591	3.20638662791181e-10	Promoter (<=1kb)	1	6449055	6460926	11872	1	83715	ENST00000633239.1	162	ENSG00000187017	ESPN	espin	ESPN
chr20	63467351	63471095	3745	*	1.38385554186013	3.2383331220789e-10	Promoter (<=1kb)	20	63446772	63470958	24187	2	3785	ENST00000637803.1	0	ENSG00000075043	KCNQ2	potassium voltage-gated channel subfamily Q member 2	KCNQ2
chr1	1922730	1926014	3285	*	1.55000015427535	3.26391074197104e-10	Promoter (1-2kb)	1	1922083	1927403	5321	2	85452	ENST00000412120.2	1389	ENSG00000142609	CFAP74	cilia and flagella associated protein 74	CFAP74
chr1	10640576	10641913	1338	*	1.63254263854677	3.35427316451566e-10	Intron (ENST00000606802.1/ENST00000606802.1, intron 1 of 1)	1	10642082	10645076	2995	2	54897	ENST00000447850.3	3163	ENSG00000130940	CASZ1	castor zinc finger 1	CASZ1
chr10	132223032	132225087	2056	*	1.57800219529269	3.35427316451566e-10	Exon (ENST00000462160.5/282974, exon 8 of 13)	10	132203553	132204907	1355	1	10570	ENST00000471544.1	19479	ENSG00000151640	DPYSL4	dihydropyrimidinase like 4	DPYSL4
chr17	76023152	76025780	2629	*	1.46677770966753	3.35427316451566e-10	Promoter (1-2kb)	17	76007081	76027231	20151	2	2125	ENST00000586740.1	1451	ENSG00000167880	EVPL	envoplakin	EVPL
chr17	81381857	81386377	4521	*	1.37545667315174	3.45668660090947e-10	Promoter (<=1kb)	17	81375144	81385464	10321	2	100130370	ENST00000648736.1	0	ENSG00000262223	LINC03048	long intergenic non-protein coding RNA 3048	LINC03048
chr10	43262917	43267970	5054	*	1.47426631540618	3.52127977862989e-10	Promoter (<=1kb)	10	43194535	43267065	72531	2	221002	ENST00000395810.6	0	ENSG00000198915	RASGEF1A	RasGEF domain family member 1A	RASGEF1A
chr19	5841182	5843400	2219	*	1.55575709171427	3.55502615684756e-10	Promoter (1-2kb)	19	5830774	5839717	8944	2	2528	ENST00000286955.5	-1465	ENSG00000156413	FUT6	fucosyltransferase 6	FUT6
chr7	150962169	150966155	3987	*	1.45029986583699	3.56635592428298e-10	Promoter (1-2kb)	7	150944961	150960876	15916	2	3757	ENST00000684241.1	-1293	ENSG00000055118	KCNH2	potassium voltage-gated channel subfamily H member 2	KCNH2
chr1	16012668	16015798	3131	*	1.28034537199047	3.57233673667419e-10	Promoter (2-3kb)	1	16015374	16017825	2452	2	27129	ENST00000463576.5	2027	ENSG00000173641	HSPB7	heat shock protein family B (small) member 7	HSPB7
chr9	135979190	135982995	3806	*	1.43210105547545	3.62320867227227e-10	Distal Intergenic	9	135932969	135961373	28405	2	10422	ENST00000371756.4	-17817	ENSG00000130560	UBAC1	UBA domain containing 1	UBAC1
