gene_symbol	annotation	fold_change	FDR	distance_to_TSS
UNCX	Distal Intergenic	1.66589452522026	2.69029422925811e-09	37390
ENTPD8	Promoter (<=1kb)	1.6655289107328	2.73858740879446e-11	0
MIR5189	Intron (ENST00000319555.8/161882, intron 3 of 9)	1.6621847072886	2.07894900862182e-10	22464
EPPK1	Exon (ENST00000665295.1/ENST00000665295.1, exon 2 of 5)	1.6614561095982	2.01045195408722e-08	-11501
CDRT15P3	Exon (ENST00000432853.1/ENST00000432853.1, exon 3 of 5)	1.65824083514771	3.61655131870358e-07	-31722
NRARP	Promoter (1-2kb)	1.65615540012969	3.24107496535979e-11	-1374
LOC124903825	Distal Intergenic	1.65077328175807	5.41414275477669e-14	7886
GGT5	Distal Intergenic	1.6507544579779	1.72158872918948e-06	10567
FAM53A	Distal Intergenic	1.6480522476421	7.6441141622801e-12	-22838
LOC107983985	Promoter (2-3kb)	1.64200985452355	1.46377700560803e-12	-2661
CD7	Promoter (<=1kb)	1.64164665327708	2.4605997507225e-12	0
DUSP9	Distal Intergenic	1.637395795757	1.21315294576588e-09	-4710
TTC34	Distal Intergenic	1.63650585635299	1.64823666870015e-08	-4521
STK32C	Intron (ENST00000462160.5/282974, intron 2 of 12)	1.63415096171281	8.5505070399422e-09	9753
CASZ1	Intron (ENST00000606802.1/ENST00000606802.1, intron 1 of 1)	1.63254263854677	3.35427316451566e-10	3163
AGRN	Promoter (<=1kb)	1.63019450604362	8.79600760296234e-08	-182
SDK2	Promoter (<=1kb)	1.6247671698915	5.68909090188267e-12	168
LOC124903825	Distal Intergenic	1.62415973051118	1.82379226557283e-09	85790
RBFOX3	Intron (ENST00000583458.5/146713, intron 3 of 13)	1.62327395176661	1.09890237690428e-10	-15217
LY6D	Exon (ENST00000637396.2/ENST00000637396.2, exon 3 of 3)	1.62316955335512	4.70257096488475e-12	-9728
NRARP	3' UTR	1.6220502233052	7.00202893566821e-08	-19548
LINC01451	Distal Intergenic	1.62140379308523	2.4605997507225e-12	3959
LOC100996583	Promoter (1-2kb)	1.62040937792635	5.96627635518139e-09	1025
LOC105374340	Promoter (<=1kb)	1.61463934080859	9.91740225171732e-10	0
HCN2	Intron (ENST00000251287.3/610, intron 1 of 7)	1.61342000234188	1.62663105119301e-09	11235
SOX8	Distal Intergenic	1.60873603635149	2.60168148596807e-10	29049
PXMP2	Promoter (<=1kb)	1.60842232013205	9.52308501370527e-08	-198
CYP2W1	Promoter (<=1kb)	1.60622007180772	1.59458817750011e-09	0
TRAPPC9	Intron (ENST00000438773.4/83696, intron 21 of 22)	1.60422951531835	7.31825509991984e-13	14615
GPSM1	Promoter (<=1kb)	1.60048915208422	3.69489061364447e-10	0
PRXL2B	Promoter (<=1kb)	1.59946491546365	1.93279716542558e-09	-113
ESPNL	Promoter (1-2kb)	1.59937574045369	4.61457152288728e-09	1047
GRIFIN	Promoter (<=1kb)	1.59922621883502	6.70065805670659e-12	0
PANX2	Promoter (<=1kb)	1.59885303952141	6.09217945644381e-10	578
RGS11	Promoter (<=1kb)	1.59081336252887	9.26856137161322e-10	0
KCNT1	Promoter (<=1kb)	1.5899117071939	8.70138137946579e-13	0
SCNN1D	Promoter (1-2kb)	1.58885427473742	1.03658708846303e-10	1249
LOC124902312	Promoter (<=1kb)	1.58758854851197	7.61269318057381e-10	0
RIMBP2	Promoter (<=1kb)	1.58651026446405	1.35515126627517e-07	0
PKP3	Promoter (<=1kb)	1.58499318672046	1.203327584174e-09	0
PGGHG	Promoter (<=1kb)	1.5829642810177	3.25661885768014e-07	-109
LFNG	Distal Intergenic	1.58250397272376	1.48834326677065e-09	-12760
DPYSL4	Exon (ENST00000462160.5/282974, exon 8 of 13)	1.57800219529269	3.35427316451566e-10	19479
LINC02138	Promoter (<=1kb)	1.57786469222339	2.90698059578584e-08	0
LY6D	Promoter (<=1kb)	1.57782293494299	1.91257982580664e-12	0
PLCH2	Promoter (<=1kb)	1.57585630396438	4.74312983785785e-10	-768
SLC6A3	Exon (ENST00000270349.12/6531, exon 5 of 15)	1.57499481679547	2.69560581797962e-05	-5326
CHD5	Intron (ENST00000262450.8/26038, intron 2 of 41)	1.57468384176836	7.97879470141868e-11	12122
PRSS56	Promoter (<=1kb)	1.5743555437587	6.45582153346531e-11	0
KNDC1	Promoter (<=1kb)	1.57314687274305	3.48790652349661e-09	0
LGALS9	Promoter (1-2kb)	1.57152291104262	1.66346861655769e-08	-1096
POLN	3' UTR	1.56744141671452	1.57633953562442e-09	3568
LINC02870	Promoter (<=1kb)	1.56519229760603	4.01248395478502e-09	0
EFNA2	Promoter (2-3kb)	1.56464861659827	5.17768595855542e-10	2211
GRM4	Promoter (2-3kb)	1.56245393590159	2.59131539647478e-09	2291
VWCE	3' UTR	1.56232458217591	9.42722020427874e-11	6452
TTLL8	Exon (ENST00000433387.2/164714, exon 7 of 14)	1.56066317111261	6.22934454273344e-10	3589
MAFA-AS1	Promoter (2-3kb)	1.55872779057514	3.69699547870342e-11	2034
LOC100129697	Promoter (<=1kb)	1.55741793911216	8.53312494700504e-11	0
TNNT3	Promoter (<=1kb)	1.55673633720373	9.28275195599043e-10	0
CEBPA	Distal Intergenic	1.55589440778105	8.19917403464927e-11	33017
FUT6	Promoter (1-2kb)	1.55575709171427	3.55502615684756e-10	-1465
ADAMTSL1	Promoter (<=1kb)	1.55252901666335	2.09904666694331e-07	0
LAMC3	Intron (ENST00000361069.9/10319, intron 4 of 27)	1.55149929449452	3.24702751967661e-07	27975
OTOF	Promoter (<=1kb)	1.55091994583233	1.33300596171557e-10	0
FGFR3	Promoter (<=1kb)	1.55051072960277	5.07906968456112e-12	-331
MMP15	Promoter (2-3kb)	1.55035650325477	2.32767891264176e-09	2098
CFAP74	Promoter (1-2kb)	1.55000015427535	3.26391074197104e-10	1389
MYRF	Promoter (<=1kb)	1.54517350279396	2.00020352048394e-11	0
KCNT1	Promoter (1-2kb)	1.54195107412886	4.5074775489606e-08	1887
CBFA2T3	Promoter (<=1kb)	1.53868341881766	2.01045195408722e-08	0
EPPK1	Promoter (<=1kb)	1.53846913877524	1.92214305455247e-09	0
NAV2	Promoter (2-3kb)	1.53811171792894	3.93572312796278e-10	-2276
CHID1	Intron (ENST00000323578.13/66005, intron 7 of 12)	1.53601302710852	5.79669626431574e-07	6635
ERP44	Intron (ENST00000262455.7/23071, intron 1 of 11)	1.53352203599132	4.14174998440841e-09	-16827
CFAP99	Promoter (<=1kb)	1.53333300241238	4.8655532313098e-11	0
SLC9A3-AS1	Promoter (<=1kb)	1.53185505894464	1.0452652643762e-09	0
RHPN1	Distal Intergenic	1.53147195440129	3.27175539466919e-11	14895
PRAP1	Promoter (2-3kb)	1.53084390433536	2.04427930501385e-09	2330
RNF212	Distal Intergenic	1.53053724313194	4.00942949990381e-05	11622
SCUBE1-AS2	Promoter (<=1kb)	1.52898308992451	1.2336255880183e-09	-495
MIR6821	Distal Intergenic	1.52743413749847	2.58872985815209e-10	3502
TRAPPC9	Intron (ENST00000438773.4/83696, intron 21 of 22)	1.52684966110631	1.61478360476244e-05	48907
MIR4251	Intron (ENST00000511072.5/63976, intron 1 of 15)	1.52640028545907	3.06479069976438e-09	-26366
B3GAT1-DT	Distal Intergenic	1.52558669995299	1.93168795430876e-07	32820
LOC124903825	Distal Intergenic	1.5240318042868	2.56367634564326e-09	61666
MXD4	Promoter (1-2kb)	1.52378655387551	7.54043944430696e-10	-1698
PNPLA7	Promoter (<=1kb)	1.52209521324907	4.59093376849328e-09	0
GRIN1	Promoter (<=1kb)	1.52107859596141	1.06611224911412e-07	0
GNG13	Promoter (<=1kb)	1.51873675983771	6.63947008277641e-10	0
ZFYVE28	Promoter (<=1kb)	1.51486413073235	4.08286251520696e-09	-531
COL9A3	Promoter (1-2kb)	1.51428500432683	3.02014257778244e-09	-1282
CEP131	Promoter (<=1kb)	1.5138903770892	6.15581887927412e-11	590
CFAP74	Exon (ENST00000493964.5/85452, exon 21 of 38)	1.51356259609368	3.59215462597979e-09	-14851
ASPSCR1	Promoter (<=1kb)	1.51266145124289	7.4250955733516e-10	0
ESPN	Promoter (<=1kb)	1.51248474216591	3.20638662791181e-10	162
SMOC2	Distal Intergenic	1.51085374032743	4.10166614845814e-11	-43965
NKX6-2	Distal Intergenic	1.51063859144145	4.47603710326727e-10	-10427
LINC01377	Distal Intergenic	1.51060369296546	9.57513722055724e-10	88592
CACNA1I	Exon (ENST00000407673.5/8911, exon 18 of 35)	1.50971341424275	1.3840998847994e-09	20289
CFAP74	Exon (ENST00000493964.5/85452, exon 6 of 38)	1.5094775420081	1.74536103760374e-09	4163
PBX3	Distal Intergenic	1.50407504718327	1.28378726298899e-08	159778
PLCH2	Promoter (<=1kb)	1.50329566572188	1.14661113460025e-11	0
ZNF618	Intron (ENST00000288466.11/114991, intron 1 of 13)	1.50153738077612	3.32011243175238e-07	65561
KCNQ2	Promoter (2-3kb)	1.5002453600727	4.98565841688333e-09	2511
HELZ2	Promoter (<=1kb)	1.49971694467422	1.44056281424105e-08	656
KCP	Promoter (1-2kb)	1.49810715735426	4.55879274068415e-09	-1150
COL20A1	Exon (ENST00000358894.11/57642, exon 4 of 36)	1.49809051106806	8.20048692186043e-09	10348
PLEKHG5	Promoter (<=1kb)	1.49756416655029	3.65330799161662e-10	0
CCDC188	Distal Intergenic	1.49640242401379	3.02513302848457e-09	-5868
ALDH3A1	Promoter (<=1kb)	1.49498826474612	2.14155699188395e-09	0
GCGR	Promoter (1-2kb)	1.49160588665435	1.30302955610966e-09	1161
SLC7A10	Promoter (<=1kb)	1.49018020973425	5.93395650013386e-11	0
NOS3	Promoter (<=1kb)	1.4899529651286	7.54752330421774e-13	0
RADIL	Promoter (<=1kb)	1.48882569290211	3.19275232342231e-09	-708
MUC2	Exon (ENST00000675028.1/4583, exon 7 of 30)	1.48740777532876	1.22781394503434e-07	5719
ACTRT2	Distal Intergenic	1.48706114659034	2.30757864546897e-09	-94110
KIF25	3' UTR	1.48694322741	5.11746089938405e-09	6936
NKX1-1	Distal Intergenic	1.48666819137424	4.00161153580145e-11	-82311
CHRNA4	Promoter (2-3kb)	1.4862107269118	4.40598689831997e-12	2674
CFAP99	Exon (ENST00000635017.1/402160, exon 3 of 15)	1.48615501797068	4.41635082234124e-10	-5541
ARHGAP6	Promoter (<=1kb)	1.48609529672764	4.02517096745013e-06	0
MIR4694	Promoter (1-2kb)	1.48525311708265	1.15782917908042e-07	1504
CCDC187	Promoter (<=1kb)	1.48474679969936	7.66838710800988e-09	0
GPR153	Promoter (1-2kb)	1.48345034248041	4.76443384445073e-10	1194
PNPLA7	Exon (ENST00000406427.6/375775, exon 17 of 35)	1.47810884813356	7.48918215205998e-08	-17363
IGLL3P	Promoter (<=1kb)	1.47790198321727	9.5045768520068e-09	0
PLEC	Promoter (<=1kb)	1.47717515348996	4.7050102338659e-10	0
KCNH2	3' UTR	1.47605764778005	4.50002778514461e-11	4908
IL11RA	Promoter (<=1kb)	1.47512801666114	3.74491328315285e-10	0
TBC1D3F	Exon (ENST00000620719.1/ENST00000620719.1, exon 8 of 11)	1.47462664209572	2.86268203581704e-06	-10594
LCN10	Promoter (<=1kb)	1.47445276177948	1.54264775971491e-07	0
FBRSL1	Distal Intergenic	1.47434395336219	1.91629771625237e-08	-72043
RASGEF1A	Promoter (<=1kb)	1.47426631540618	3.52127977862989e-10	0
MAD1L1	Promoter (<=1kb)	1.47405920544609	3.09818572442008e-07	327
LINC01451	Distal Intergenic	1.47239932465382	2.34308910702477e-09	-5188
UNCX	Distal Intergenic	1.47166896443451	2.40871796366055e-09	51650
TRIP13	Promoter (<=1kb)	1.47040113667303	5.20047209950436e-07	0
ZDHHC8BP	Promoter (<=1kb)	1.47025123989116	4.86421197687363e-10	0
MIR4277	Exon (ENST00000565428.1/ENST00000565428.1, exon 1 of 1)	1.46981215626146	7.91748622667211e-10	-14241
CFAP99	Promoter (<=1kb)	1.46934656348479	1.19516632885949e-09	0
CCDC74B	Promoter (<=1kb)	1.46878344933653	2.11736341000818e-06	0
ACTRT2	Distal Intergenic	1.46828416160734	2.61542601108416e-10	-4433
EVPL	Promoter (1-2kb)	1.46677770966753	3.35427316451566e-10	1451
COL18A1	Exon (ENST00000456613.1/ENST00000456613.1, exon 1 of 2)	1.46623465142448	1.07996179166059e-09	-23665
MEGF6	Intron (ENST00000356575.9/1953, intron 4 of 36)	1.46595992970987	1.41650814109556e-08	-11496
LINC02761	Distal Intergenic	1.46546369443727	4.64930363446755e-11	-65769
MCF2L	Promoter (<=1kb)	1.46514014961205	4.54916589906734e-09	0
TUBB4B	Promoter (2-3kb)	1.4644726254047	3.28196670903249e-08	-2752
CALY	Promoter (1-2kb)	1.46298114208499	2.49603224209684e-06	1684
CPLX1	Promoter (1-2kb)	1.46051785660253	4.58421967689617e-10	-1589
LINC03062	Distal Intergenic	1.46046163714075	1.84807316521699e-08	-12023
RBFOX3	Promoter (<=1kb)	1.4600173106019	1.54264775971491e-07	0
SSTR5-AS1	Distal Intergenic	1.45908499361615	1.08738189860917e-08	29044
LOC124903827	Promoter (<=1kb)	1.45889869818848	8.02683719067233e-09	427
EVPL	Promoter (<=1kb)	1.45773652671511	8.32290792354741e-11	0
C1orf159	Promoter (<=1kb)	1.45757876248704	1.62077767407308e-07	0
MIR429	Promoter (<=1kb)	1.45742335787849	4.14174998440841e-09	0
LOC105373334	Distal Intergenic	1.45733055628112	4.98565841688333e-09	-20723
LINC02247	Distal Intergenic	1.45721106027342	4.74312983785785e-10	60722
VWCE	Promoter (<=1kb)	1.45680363073458	1.40266230171011e-09	239
ACTRT2	Distal Intergenic	1.45614669492906	3.51134858039352e-09	-70081
TCP10L3	Distal Intergenic	1.45562400175215	6.99311823402514e-09	-122693
PLCH2	Promoter (<=1kb)	1.45521538531784	3.48790652349661e-09	827
PODNL1	Promoter (<=1kb)	1.45471821925337	2.14806154793234e-09	0
AIRE	Promoter (1-2kb)	1.4538313647461	2.15199019576364e-10	-1090
LOC124901465	Distal Intergenic	1.45382969526534	6.99384542651446e-10	-99483
FBXL16	Promoter (1-2kb)	1.45356639829887	9.89749820330027e-09	1085
MIR6722	Promoter (<=1kb)	1.45159023075041	1.27332330452343e-10	0
MIR6846	Promoter (<=1kb)	1.45132267677881	6.01495891767146e-10	0
ALPP	Promoter (<=1kb)	1.45087980627539	4.31365130684556e-10	0
KCNH2	Promoter (1-2kb)	1.45029986583699	3.56635592428298e-10	-1293
LMTK3	Promoter (<=1kb)	1.44986471032971	1.9419376245531e-08	0
LINC02870	Distal Intergenic	1.44979436831215	4.26609720023064e-10	3836
LOC107986547	Exon (ENST00000392115.2/ENST00000392115.2, exon 1 of 1)	1.44948950953707	2.06812707258697e-10	15811
PANK4	Promoter (<=1kb)	1.44855371602723	2.14155699188395e-09	-144
JPH3	Intron (ENST00000537256.5/57338, intron 1 of 5)	1.44771511294117	1.37787690925635e-05	-14054
TBX4	Distal Intergenic	1.44676734544421	4.40598689831997e-12	-4331
KCNT1	Promoter (<=1kb)	1.4466528168237	1.43236754042957e-08	458
C1orf159	Promoter (2-3kb)	1.44584569481092	0.000111528137863621	2272
LINC02116	Distal Intergenic	1.44562871029823	6.04362274649718e-09	-10818
MEGF6	Intron (ENST00000356575.9/1953, intron 5 of 36)	1.44418189888746	3.12819063867154e-07	10629
ARX	Exon (ENST00000379044.5/170302, exon 2 of 5)	1.4436548833289	8.76061362489821e-06	3009
LOC101928868	Exon (ENST00000427423.1/ENST00000427423.1, exon 1 of 1)	1.44303817368012	2.79300904783346e-11	91977
NKX6-3	Promoter (<=1kb)	1.44195046794712	1.42218347905716e-08	0
BOK-AS1	Promoter (1-2kb)	1.44165307861539	3.768085344769e-08	-1656
KCNQ2	Promoter (<=1kb)	1.44151616398188	4.05514159365469e-08	0
NAT8L	Promoter (1-2kb)	1.43992674890325	1.26311067051731e-08	1740
MIR3667HG	Promoter (2-3kb)	1.43823102670565	4.76654179342072e-07	-2994
GGT5	Exon (ENST00000263112.11/2687, exon 2 of 11)	1.43776640781957	4.4784490785291e-07	-5475
RHCG	Promoter (2-3kb)	1.43715356919521	5.76766357746165e-10	2293
MRFAP1L2	Promoter (<=1kb)	1.43712112262477	1.44664638466017e-08	0
ADAP1	Intron (ENST00000265846.10/11033, intron 4 of 10)	1.43661485178376	5.17068871240178e-10	4250
LOC105374339	Promoter (<=1kb)	1.43619537545718	6.9352391614689e-10	0
KIF1A	Promoter (2-3kb)	1.43612036269488	1.35910017772596e-08	2756
LASP1	Promoter (2-3kb)	1.43398270736686	1.56146196942796e-12	-2596
ADGRD1	Promoter (2-3kb)	1.4330507875731	5.06571391857712e-08	2333
LOC389602	Distal Intergenic	1.4329311030118	2.15340350412096e-11	29988
ASIC4-AS1	Promoter (<=1kb)	1.43286694405804	4.08932894339109e-10	0
LOC124904701	Intron (ENST00000666194.1/100128675, intron 2 of 4)	1.43272619041163	4.58421967689617e-10	-14066
GRIN1	Promoter (<=1kb)	1.43221244594538	9.51946347693936e-08	0
UBAC1	Distal Intergenic	1.43210105547545	3.62320867227227e-10	-17817
HMX2	Promoter (<=1kb)	1.43203419508711	1.0958033747768e-06	0
PRDM16	Intron (ENST00000511072.5/63976, intron 3 of 15)	1.43201000669511	4.03694645623658e-09	25247
LOC105370532	Intron (ENST00000665010.1/105370532, intron 2 of 2)	1.43180434553127	4.0609537323071e-06	20620
FLT4	Promoter (<=1kb)	1.4316743823025	1.43499657252916e-09	984
ZC3H3	Intron (ENST00000262577.6/23144, intron 3 of 11)	1.43077434133011	1.79746573418706e-09	-4887
SLC25A33	Distal Intergenic	1.43075203572052	9.21328010659135e-09	-18012
ADAP1	Promoter (<=1kb)	1.43020415528638	5.15232768076392e-09	858
CPLX1	Promoter (1-2kb)	1.42797918655421	8.65797321222403e-09	1733
KCNQ1OT1	Intron (ENST00000496887.7/3784, intron 11 of 15)	1.427024363179	2.02275892475186e-08	-33616
PLEKHN1	Promoter (<=1kb)	1.42659788429613	3.34822888042106e-08	0
LINC01488	Exon (ENST00000644563.1/101928292, exon 2 of 4)	1.42617994766059	1.74741552812249e-10	3272
LINC00523	Distal Intergenic	1.42430572352954	5.4413510780028e-05	-15907
PNPLA7	Promoter (<=1kb)	1.42371571975594	1.22003918253372e-10	0
LIG1	Promoter (<=1kb)	1.42324104236535	8.30776378830481e-12	0
LINC01377	Distal Intergenic	1.42289478129092	1.90570759248983e-06	127285
LINC00029	Intron (ENST00000606208.5/63930, intron 1 of 1)	1.42223587979572	3.55893308307203e-08	8518
LOC101928416	Distal Intergenic	1.42176205275295	2.7732997211921e-07	74393
BHLHE23	Distal Intergenic	1.42172717998268	9.1022991085095e-08	10008
TNFRSF18	Distal Intergenic	1.42160232242738	1.66346861655769e-08	3415
RBFOX3	Exon (ENST00000583458.5/146713, exon 5 of 14)	1.42093474183635	1.40475881456615e-08	4429
CFAP46	Exon (ENST00000368586.10/54777, exon 12 of 58)	1.42092149282782	1.61205759594566e-05	-5034
SLC25A10	Distal Intergenic	1.42061452998451	5.90792183028688e-11	23453
KCNH2	Promoter (<=1kb)	1.41975530134273	7.52595976311111e-10	-524
ACTRT2	Distal Intergenic	1.41953802425618	9.57513722055724e-10	12941
CRB2	Promoter (1-2kb)	1.41815746580445	7.46941262765311e-09	1710
CABLES2	Promoter (2-3kb)	1.41786230513486	2.61542601108416e-10	-2829
PLEC	Promoter (1-2kb)	1.4177180907137	1.61220207960372e-08	1158
LOC400553	Exon (ENST00000685311.2/ENST00000685311.2, exon 1 of 1)	1.41757405075802	5.11103244145486e-06	10634
COL18A1	Distal Intergenic	1.41707885015181	7.97879470141868e-11	-16037
RAB40B	Distal Intergenic	1.41688305193844	2.42350379179394e-10	-5273
MIR4800	Promoter (<=1kb)	1.41621813691536	2.0898270413798e-06	391
MUC5AC	Promoter (1-2kb)	1.41539852125949	2.14155699188395e-09	1802
PLCH2	Promoter (2-3kb)	1.41516023723572	8.3751874811416e-07	2685
LINC02688	Promoter (<=1kb)	1.41465635507678	9.86269030337074e-09	0
LOC105373289	Distal Intergenic	1.4139730661463	3.28196670903249e-08	3966
PBX3	Distal Intergenic	1.41381884313514	0.000123644603751084	129043
MCCC1	Exon (ENST00000265598.8/27074, exon 5 of 6)	1.41288564736615	1.86470279940635e-11	-15309
PRDM16	Intron (ENST00000511072.5/63976, intron 1 of 15)	1.41259984241528	2.2094588981663e-07	21542
COL20A1	Exon (ENST00000358894.11/57642, exon 12 of 36)	1.41250681852813	1.30302955610966e-09	-3795
MIR153-2	Intron (ENST00000389413.7/5799, intron 20 of 21)	1.41233441562712	7.45645197336639e-09	13052
LOC124907998	Distal Intergenic	1.41181795786255	1.41980642541485e-10	-26966
EXD3	Promoter (<=1kb)	1.41139535078604	3.52817820650767e-08	273
GABRD	Promoter (<=1kb)	1.41138380169134	1.40388295388117e-09	0
GSC	Distal Intergenic	1.40961157160262	8.56857524742489e-05	57980
LRFN2	Promoter (<=1kb)	1.40918219235287	4.05777055064637e-09	0
RBFOX3	Intron (ENST00000583458.5/146713, intron 1 of 13)	1.40787200355535	8.58386915139826e-10	25434
B3GNTL1	Distal Intergenic	1.40747395306241	1.65309486605289e-10	-10552
IL17REL	3' UTR	1.4070198153618	7.21131512091028e-09	9448
RET	3' UTR	1.40696558747712	4.85381819955964e-09	5782
EPS8L2	Promoter (<=1kb)	1.40661352331455	3.74323676507481e-08	0
LOC105376121	Intron (ENST00000669133.1/105376121, intron 1 of 2)	1.40625354843209	4.29880604000419e-13	11363
TRARG1	3' UTR	1.4062264350154	3.46017249769553e-12	18357
LOC105372957	Promoter (<=1kb)	1.40614395757165	1.93279716542558e-09	0
ADGRD2	Intron (ENST00000696331.1/347088, intron 20 of 24)	1.40569705708878	7.67962401436143e-09	4377
LINC00661	Promoter (<=1kb)	1.40552841361177	7.07614293007041e-09	498
SLC7A10	Promoter (<=1kb)	1.40429098346723	3.14025562699408e-09	-883
P2RX1	Promoter (<=1kb)	1.40416775501529	3.82508926761876e-09	547
ZFYVE28	Promoter (2-3kb)	1.40390730648301	7.92595048244218e-09	-2169
LINC03062	Promoter (<=1kb)	1.403821197544	3.82508926761876e-09	0
AP2A2	Exon (ENST00000529818.6/161, exon 5 of 7)	1.40366089008749	1.76128927187025e-10	-6395
NKX6-2	Promoter (2-3kb)	1.40349968950282	4.29294892043073e-08	-2830
NEU4	Promoter (<=1kb)	1.40320331253442	3.5475575915632e-07	937
FAM240C	Promoter (2-3kb)	1.40256028106988	3.66711095795386e-08	2890
PPP2R2C	Promoter (<=1kb)	1.40185884990082	2.12663894753507e-08	652
NEU4	Distal Intergenic	1.40125187718535	1.41616149196048e-07	6097
LOC124905349	Promoter (<=1kb)	1.40118560607112	1.23029487470556e-07	0
KCNQ2-AS1	Promoter (<=1kb)	1.40084156949749	3.53593215309665e-08	396
ATP9B	Intron (ENST00000426216.6/374868, intron 26 of 29)	1.40080375593806	6.86486743168308e-06	-4355
ATP2A3	Promoter (<=1kb)	1.40064424454967	1.61375103072853e-09	0
LOC107984098	Distal Intergenic	1.40015246927181	3.90989417256888e-07	-24065
LINC02809	Downstream (<=300bp)	1.39935615297558	3.93512897264154e-08	8933
NOS3	Promoter (2-3kb)	1.39916398396976	1.32103838154625e-10	-2147
LMNTD2-AS1	Promoter (<=1kb)	1.39885739333128	1.26807121023921e-07	0
ADAMTS2	Intron (ENST00000251582.12/9509, intron 5 of 21)	1.39828551881698	3.31694798664527e-05	-42407
KIF1A	Promoter (1-2kb)	1.39801190891885	1.71820895219133e-08	-1949
ARID3A	Promoter (<=1kb)	1.39699401032113	9.22798433432844e-09	850
TTYH2	Promoter (<=1kb)	1.39657250433343	1.74019931755932e-11	0
KSR1	Promoter (<=1kb)	1.39555432466694	1.754983145472e-08	0
IGF2	Promoter (<=1kb)	1.39536983586958	5.14636020186508e-10	0
MZT2B	Distal Intergenic	1.39498050637571	1.11509700129453e-07	62886
EGFL7	Promoter (1-2kb)	1.39485400141586	1.15129507609709e-07	1161
LOC100130587	Promoter (<=1kb)	1.39373998053478	3.99795230031876e-09	0
LIG1	Promoter (2-3kb)	1.39364703631326	2.11952012460031e-05	2312
CACNA1H	Distal Intergenic	1.39267127155852	8.63367149915249e-06	-18780
LINC02279	Distal Intergenic	1.39236169798897	5.8763403225995e-08	74724
